Item,Price,Vendor,Received,Paid,Plan_Timing,Plan_Decision,Inventory_Group,Restore_Replace,Build_State,Reconciled_Status,Reconciled_Note,Procured_Mark,Estimate_Range_PKR,Estimate_Avg_PKR,Estimate_Priority,Estimate_Source,Source_Tab,Source_Row,Inventory_ID,Purchase_Priority,Priority_Order,Priority_Basis,New_vs_Refresh_Decision,Photo_Evidence_Level,Photo_Evidence_Basis,Decision_Confidence,Lead_Time_Risk,Sourcing_Region
"Hazard switch (red latching pushbutton, panel-mount, automotive 12V)",,electronicstore.pk,Y,Y,pre_order_audit,stock_audit_then_local_topup,wiring_material,inspect_then_decide,procured_or_on_hand,procured_or_on_hand,Marked received per user confirmation. Keep as the hidden/manual fuel-stop / hazard-control option if needed.,✓,,,,,Parts,129,INV-0121,P3 - Audit then buy,3,decision_or_timing,INSPECT_THEN_DECIDE,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Horn circuit wiring termination (relay already on-hand),,Relay box on-hand / steering wheel horn switch,Y,Y,pre_order_audit,wire_existing_relay_box,replacement_part,inspect_then_decide,procured_or_on_hand,covered_by_existing_relay_box,No separate horn part purchase is needed. The horn is already embedded in the steering wheel; route control and power into the existing relay box and terminate the harness ends only.,✓,,,,,Restore_Replace,35,INV-0163,P3 - Audit then buy,3,procurement_pass2,INSPECT_THEN_DECIDE,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Hot rod wiring quote,,On hand / deferred,,,pre_order_audit,defer_until_scope_change,replacement_part,inspect_then_decide,cancelled,cancelled,User confirmed this is not needed now; no separate hot-rod wiring order required.,cancelled,,,,,Restore_Replace,19,INV-0151,P3 - Audit then buy,3,not required for current build scope,INSPECT_THEN_DECIDE,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Insulated Thimbles Male lug 4mm Yellow in Pakistan × 1,800,On hand,Y,Y,pre_order_audit,use_existing_stock,wiring_material,inspect_then_decide,procured_or_on_hand,procured_or_on_hand,User confirmed there is plenty of yellow ring-type stock already on hand; no more needed for now.,✓,,,,,Wiring,46,INV-0088,P3 - Audit then buy,3,covered by existing yellow ring connectors on hand,INSPECT_THEN_DECIDE,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
M6 star / lock washer,,Steel Works PK,,,pre_order_audit,quote_at_steel_works_pk,replacement_part,inspect_then_decide,planned_or_open,needs_confirmation,Quote requested for M6 star washers x120.,Q,,,,https://steelworkspk.com/products/weld-nuts-manufacturers-in-lahore/ | https://steelworkspk.com/products/star-washers-supplier-in-lahore/,Parts,36,INV-0035,P3 - Audit then buy,3,decision_or_timing,INSPECT_THEN_DECIDE,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk
M8 star / lock washer,,Steel Works PK,,,pre_order_audit,quote_at_steel_works_pk,replacement_part,inspect_then_decide,planned_or_open,needs_confirmation,Quote requested for M8 star washers x80.,Q,,,,https://steelworkspk.com/products/weld-nuts-manufacturers-in-lahore/ | https://steelworkspk.com/products/star-washers-supplier-in-lahore/,Parts,37,INV-0036,P3 - Audit then buy,3,decision_or_timing,INSPECT_THEN_DECIDE,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk
PET expandable braided sleeving (100ft 1/4 inch),,On hand,Y,Y,pre_order_audit,use_existing_stock,replacement_part,inspect_then_decide,procured_or_on_hand,procured_or_on_hand,User confirmed braided sleeving is already on hand; no more needed yet.,✓,,,,,Restore_Replace,20,INV-0152,P3 - Audit then buy,3,covered by existing braided sleeving stock,INSPECT_THEN_DECIDE,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Star washers (bite into metal),,Steel Works PK,,,pre_order_audit,quote_at_steel_works_pk,replacement_part,inspect_then_decide,planned_or_open,needs_confirmation,Quote requested for M10 star washers x40.,Q,,,,https://steelworkspk.com/products/weld-nuts-manufacturers-in-lahore/ | https://steelworkspk.com/products/star-washers-supplier-in-lahore/,Restore_Replace,21,INV-0153,P3 - Audit then buy,3,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk
M-2011 3pin ON-OFF Toggle Switch Single Pole (concealed starter interrupt switch),,electronicstore.pk | https://electronicstore.pk/product-tag/m-2011-3pin-on-off-toggle-switch-single-pole/,No,Y,in_flight_now,track_in_flight_order,replacement_part,replace_or_procure,ordered_in_flight,needs_confirmation,Paid at ElectronicStore for the concealed starter interrupt switch. Use as the hidden ON-OFF control under the dash; relay hardware is already on hand.,ordered/in-flight,,,,https://electronicstore.pk/product/12mm-metal-push-button-switch-anti-vandal-latching-ring-led-white-4-pin-red-led/,Parts,42,INV-0041,P3 - Audit then buy,3,security implementation using existing relay stock first (2026-04-15),BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk
3mm Sound Damping Sheet / Deadening Pad,29500,Outsourced sound-deadening installer,,,post_rust_repair,outsourced_not_a_purchase,consumable_material,inspect_then_decide,cancelled,cancelled,Cancelled from procurement: sound damping is outsourced rather than bought as a direct parts item.,cancelled,,,,,Substances,6,INV-0126,P4 - Post inspection,4,Body chemistry/insulation gated to tub-off rust/weld findings,INSPECT_THEN_DECIDE,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Accessory belt set,,Walton Toyota,,,post_tub_off_inspection,quote_at_walton_toyota,replacement_part,inspect_then_decide,planned_or_open,needs_confirmation,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec. | Quote/pending at Walton Toyota.,Q,,,,,Parts,17,INV-0016,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Air filter element,3250,PakWheels,No,"PKR 3,399 (paid incl shipping)",in_flight_now,track_in_flight_order,replacement_part,inspect_then_decide,ordered_in_flight,needs_confirmation,"Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec. | PakWheels order placed: Toyota Land Cruiser 1998-2007 Air Filter Super JT 17801-50040. | Item price PKR 3,250 + shipping PKR 149.",ordered/in-flight,,,,,Parts,18,INV-0017,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Brake flexible hose set front and rear,,Local Toyota/common parts markets; replace new,,,post_tub_off_inspection,buy_new_local_batch,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec. | User confirmed replace all items in this service batch with new parts.,,,,,,Parts,19,INV-0018,P4 - Post inspection,4,procurement_pass2,BUY_NEW,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Clutch master and slave cylinder refresh kit,,Walton Toyota,,,post_tub_off_inspection,quote_at_walton_toyota,replacement_part,inspect_then_decide,planned_or_open,needs_confirmation,"Condition-based item: inspect first, then buy only if required. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Condition-dependent item; inspect first then buy local only if required. | Quote/pending at Walton Toyota.",Q,,,,,Parts,20,INV-0019,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Distributor cap rotor and ignition tune-up consumables,,Not applicable for current diesel engine,,,post_tub_off_inspection,not_required_diesel_engine,replacement_part,inspect_then_decide,cancelled,cancelled,Cancelled: ignition distributor-cap/rotor tune-up consumables are not applicable to the current diesel engine configuration.,cancelled,,,,,Parts,21,INV-0020,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Engine mount set,,No supplier action now; inspect in place first,,,no_engine_lift_baseline,inspect_in_place_defer_purchase,replacement_part,inspect_then_decide,deferred_decision,planned_or_open,No engine-lift baseline: inspect mounts in place; defer purchase unless failed or engine is already being supported/lifted for another approved job. EPS column conversion does not require engine removal.,"",,,,,Parts,22,INV-0021,P6 - Deferred / conditional,6,no engine-lift baseline; inspect in place before any purchase,INSPECT_IN_PLACE,medium,user_update_2026-05-03_no_engine_lift_baseline,high,low,local_pk_or_on_hand
Oil filter (genuine Toyota),11127,Toyota Indus,No,,post_tub_off_inspection,quote_at_toyota_indus,replacement_part,inspect_then_decide,planned_or_open,needs_confirmation,"Toyota Indus quote at direct.toyota-indus.com: Oil Filter - Land Cruiser (1999-2007), part no. 90915-30002. Quote only; do not rebuy elsewhere.",Q,,,,Toyota Genuine Oil Filter,Parts,23,INV-0022,P4 - Post inspection,4,Condition-based after tub-off inspection (user confirmed 2026-04-15),BUY_NEW,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Engine oil (diesel service fluid - Toyota Indus Dezon CF4 20W-50 4L),6000,Toyota Indus,No,,post_tub_off_inspection,quote_at_toyota_indus,replacement_part,inspect_then_decide,planned_or_open,needs_confirmation,"Toyota Indus quote at direct.toyota-indus.com: Dezon (CF4 20W-50)-4L, part no. 08883-8004P-CF4. Quote only; do not rebuy elsewhere.",Q,6000-6000,6000,medium,Toyota Indus Dezon CF4 20W-50 4L,Parts,23,INV-0022,P4 - Post inspection,4,Service fluid; confirm engine code before purchase,BUY_NEW,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Fuel filter,,Walton Toyota,,,post_tub_off_inspection,quote_at_walton_toyota,replacement_part,inspect_then_decide,planned_or_open,needs_confirmation,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec. | Quote/pending at Walton Toyota.,Q,5000-20000,18000,High,Diesel parts supplier,Parts,24,INV-0023,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Fuel-rated rubber hose and clamp kit,,Local Toyota/common parts markets; replace new,,,post_tub_off_inspection,buy_new_local_batch,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec. | User confirmed replace all items in this service batch with new parts.,,,,,,Parts,25,INV-0024,P4 - Post inspection,4,procurement_pass2,BUY_NEW,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
"Gearbox top-cover service items (detents, bushes, shift-seat kit)",,Local transmission parts source; replace new,,,post_tub_off_inspection,buy_new_local_batch,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,"Condition-based item: inspect first, then buy only if required. | User confirmed replace all items in this service batch with new parts.",,,,,,Parts,14,INV-0013,P4 - Post inspection,4,procurement_pass2,BUY_NEW,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
HB BODY - U900 CAVITY WAX SPRAY U900 - 400ML,3699,Autohub,No,No,post_rust_repair,quote_at_autohub,consumable_material,inspect_then_decide,planned_or_open,needs_confirmation,"Autohub 1L cavity wax choice preferred for capacity/value, but not ordered yet.",Q,2500-4500,3699,,Autohub cavity wax page,Substances,8,INV-0127,P4 - Post inspection,4,post-rust cavity protection,BUY_NEW,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
HB BODY 999 SEAM SEALER 300ML CARTR,7696,Autohub,No,No,post_rust_repair,ordered_in_flight,replacement_part,inspect_then_decide,ordered_in_flight,ordered_in_flight,User confirmed this seam sealer is already ordered from Autohub; keep it in the rust-protection stack but do not rebuy.,✓,,,,,Substances,5,INV-0125,P4 - Post inspection,4,already ordered from Autohub,BUY_NEW,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Heat plugs (glow plugs) set - diesel engine (NEW only),,Local Toyota/common parts markets; replace new,,,post_tub_off_inspection,buy_new_local_batch,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec. | User rule 2026-04-15: heat/glow plugs are NEW ONLY; no used/refurbished plugs accepted. | User confirmed replace all items in this service batch with new parts.,,12000-36000,22000,High,Bilal Ganj diesel parts + local Toyota diesel supplier,Parts,29,INV-0028,P4 - Post inspection,4,procurement_pass2,BUY_NEW,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Heater hose set with clamps,,Local Toyota/common parts markets; replace new,,,post_tub_off_inspection,buy_new_local_batch,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec. | User confirmed replace all items in this service batch with new parts.,,,,,,Parts,26,INV-0025,P4 - Post inspection,4,procurement_pass2,BUY_NEW,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Evapo-Rust 5 Litre Heavy Duty Rust Remover,,7mart,Y,,post_tub_off_inspection,delivered_on_hand_user_confirmed,replacement_part,replace_or_procure,procured_or_on_hand,received,Delivered per user confirmation on 2026-04-22; originally tracked as quote/pending at 7mart.,✓,,,high,7mart Evapo-Rust 5 Litre Heavy Duty Rust Remover,Parts,32,INV-0031,P4 - Post inspection,4,Condition-based after tub-off inspection (user confirmed 2026-04-15),BUY_NEW,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
New Battery,16000,,Y,Y,post_tub_off_inspection,inspect_then_local_decide,service_or_replacement_item,inspect_then_decide,procured_or_on_hand,procured_or_on_hand,HaveToCheck | Open item with no procurement evidence yet. | Migrated from Service row 3 into Parts inventory. | User confirmed the new battery is already on hand.,✓,,,,,Service,3,INV-0138,P4 - Post inspection,4,decision_or_timing,INSPECT_THEN_DECIDE,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Primer,,Happilac,,,post_tub_off_inspection,quote_at_happilac,replacement_part,replace_or_procure,planned_or_open,needs_confirmation,Quote pending at Happilac for High Build Zinc Phosphate Epoxy Primer; 4L is the practical build size.,Q,1225-4620,3223,Low,Happilac High Build Zinc Phosphate Epoxy Primer,Parts,34,INV-0033,4,4,Condition-based after tub-off inspection (user confirmed 2026-04-15),BUY_NEW,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Radiator cap,,Local Toyota/common parts markets; replace new,,,post_tub_off_inspection,buy_new_local_batch,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec. | User confirmed replace all items in this service batch with new parts.,,,,,,Parts,27,INV-0026,P4 - Post inspection,4,procurement_pass2,BUY_NEW,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Radiator hose set upper plus lower with clamps,,Local Toyota/common parts markets; replace new,,,post_tub_off_inspection,buy_new_local_batch,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec. | User confirmed replace all items in this service batch with new parts.,,,,,,Parts,28,INV-0027,P4 - Post inspection,4,procurement_pass2,BUY_NEW,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Remove old LEDS,5000,Task only,,,post_tub_off_inspection,task_only_not_procurement,service_or_replacement_item,inspect_then_decide,cancelled,cancelled,"Cancelled from procurement: removing old LEDs is a work task, not a parts purchase.",cancelled,,,,,Service,2,INV-0137,P4 - Post inspection,4,decision_or_timing,INSPECT_THEN_DECIDE,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Steering bushings,,Local Toyota/common parts markets; replace new,,,post_tub_off_inspection,buy_new_local_batch,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Legacy planned steering service item retained for visibility. | User confirmed replace all items in this service batch with new parts.,,3000-12000,10000,High,Local suspension / bush supplier,Parts,53,INV-0052,P4 - Post inspection,4,decision_or_timing,BUY_NEW,high,"photo_group=chassis_underside; group_photo_count=32; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Suspension Geometry Safety Pack (caster shims + brake hose length check),,Pakwheels: https://www.pakwheels.com/accessories-spare-parts/search/-/q_caster+shim+leaf+spring/ | Pakwheels: https://www.pakwheels.com/accessories-spare-parts/search/-/q_brake+hose+toyota+land+cruiser/ | Pakwheels: https://www.pakwheels.com/accessories-spare-parts/search/-/q_steering+damper+toyota+land+cruiser/,,,post_tub_off_inspection,buy_only_if_geometry_or_droop_checks_require,replacement_part,inspect_then_decide,planned_or_open,conditional_pack,"Conditional consolidated pack after suspension install checks (caster, hose droop, steering kickback). | Steering damper is already covered by the Ironman kit; keep this pack geometry-only.",planned_or_open,21000-80000,50500,Medium,https://www.pakwheels.com/accessories-spare-parts/search/-/q_caster+shim+leaf+spring/ ; https://www.pakwheels.com/accessories-spare-parts/search/-/q_brake+hose+toyota+land+cruiser/ ; https://www.pakwheels.com/accessories-spare-parts/search/-/q_steering+damper+toyota+land+cruiser/,Parts,257,INV-0255,P4 - Post inspection,4,inspection_gate,INSPECT_THEN_DECIDE,high,local_serviceable_path,high,low,local_pk_or_on_hand
Thermostat plus gasket,5000,PakWheels,No,"PKR 5,179 (paid incl shipping)",in_flight_now,track_in_flight_order,replacement_part,inspect_then_decide,ordered_in_flight,needs_confirmation,"Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec. | PakWheels order placed: Toyota Prado 1995-2002 Thermostat Valve 90916-03118 Genuine. | Item price PKR 5,000 + shipping PKR 179.",ordered/in-flight,2000-8000,8000,High,Engine parts supplier,Parts,30,INV-0029,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Vacuum hose refresh kit,,Local Toyota/common parts markets; replace new,,,post_tub_off_inspection,buy_new_local_batch,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec. | User confirmed replace all items in this service batch with new parts.,,,,,,Parts,31,INV-0030,P4 - Post inspection,4,procurement_pass2,BUY_NEW,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
10 mm²,,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Red | Evidence indicates purchased/received. | Migrated from Wiring row 78 into Parts inventory.,,,,,,Wiring,78,INV-0108,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
10 mm²,,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Black | Evidence indicates purchased/received. | Migrated from Wiring row 79 into Parts inventory.,,,,,,Wiring,79,INV-0109,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
10.8 x 4,113,industryparts.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 87 into Parts inventory.,,,,,,Wiring,87,INV-0113,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
100A Circuit Breaker Resettable Fuse Car Marine Boat Automotive Protector,2000,Mughal,Y,N,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Jazzcash | Evidence indicates purchased/received. | Migrated from Wiring row 23 into Parts inventory.,,,,,,Wiring,23,INV-0077,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
10mm Nylon Braided sleeve Price in Pakistan × 5,875,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 14 into Parts inventory.,,,,,,Wiring,14,INV-0076,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
10mm Nylon Braided sleeve Price in Pakistan × 5,875,electronicsstore.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 7 into Parts inventory.,,,,,,Wiring,7,INV-0070,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
10mm Nylon Braided Sleeve x 5,875,electronicsstore.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 5 into Parts inventory.,,,,,,Wiring,5,INV-0068,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
14mm Nylon Braided Sleeve price in Pakistan × 5,1500,electronicsstore.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 12 into Parts inventory.,,,,,,Wiring,12,INV-0074,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
