Item,Price,Vendor,Received,Paid,Plan_Timing,Plan_Decision,Inventory_Group,Restore_Replace,Build_State,Reconciled_Status,Reconciled_Note,Procured_Mark,Estimate_Range_PKR,Estimate_Avg_PKR,Estimate_Priority,Estimate_Source,Source_Tab,Source_Row,Inventory_ID,Purchase_Priority,Priority_Order,Priority_Basis,New_vs_Refresh_Decision,Photo_Evidence_Level,Photo_Evidence_Basis,Decision_Confidence,Lead_Time_Risk,Sourcing_Region
Accessory belt set,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,bundle_local_toyota_buy_after_inspection,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.,,,,,,Parts,17,INV-0016,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Air filter element,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,bundle_local_toyota_buy_after_inspection,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.,,,,,,Parts,18,INV-0017,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Brake flexible hose set front and rear,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,bundle_local_toyota_buy_after_inspection,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.,,,,,,Parts,19,INV-0018,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Clutch master and slave cylinder refresh kit,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,inspect_then_local_decide,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,"Condition-based item: inspect first, then buy only if required. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Condition-dependent item; inspect first then buy local only if required.",,,,,,Parts,20,INV-0019,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Distributor cap rotor and ignition tune-up consumables,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,bundle_local_toyota_buy_after_inspection,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.,,,,,,Parts,21,INV-0020,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Engine mount set,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,inspect_then_local_decide,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,"Condition-based item: inspect first, then buy only if required. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Condition-dependent item; inspect first then buy local only if required.",,,,,,Parts,22,INV-0021,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Engine oil + oil filter service pack,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,bundle_local_toyota_buy_after_inspection,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.,,,,,,Parts,23,INV-0022,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Fuel filter,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,bundle_local_toyota_buy_after_inspection,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.,,5000-20000,18000,High,Diesel parts supplier,Parts,24,INV-0023,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Fuel-rated rubber hose and clamp kit,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,bundle_local_toyota_buy_after_inspection,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.,,,,,,Parts,25,INV-0024,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
"Gearbox top-cover service items (detents, bushes, shift-seat kit)",,Local transmission parts source; buy only against diagnosed wear.,,,post_tub_off_inspection,inspect_then_local_decide,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,"Condition-based item: inspect first, then buy only if required.",,,,,,Parts,14,INV-0013,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
HB BODY - U900 CAVITY WAX SPRAY U900 - 400ML,2250,autohub,,,post_rust_repair,inspect_then_local_decide,consumable_material,inspect_then_decide,planned_or_open,planned_or_open,Open item with no procurement evidence yet. | Migrated from Substances row 8 into Parts inventory. | Reconciled 2026-04-15: hold until tub-off rust/weld scope is confirmed; buy in one controlled post-inspection batch.,,,,,,Substances,8,INV-0127,P4 - Post inspection,4,Body chemistry/insulation gated to tub-off rust/weld findings,INSPECT_THEN_DECIDE,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
HB BODY 999 SEAM SEALER 300ML CARTR,7696,autohub,,,post_rust_repair,inspect_then_local_decide,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,"Open item with no procurement evidence yet. | Migrated from Substances row 5 into Parts inventory. | RR action=Prefer local sourcing first, then online if unavailable.; evidence=Body chemistry stack should be bought as one bundle after rust map and weld scope are finalized. | Reconciled 2026-04-15: hold until tub-off rust/weld scope is confirmed; buy in one controlled post-inspection batch.",,,,,,Substances,5,INV-0125,P4 - Post inspection,4,Body chemistry/insulation gated to tub-off rust/weld findings,INSPECT_THEN_DECIDE,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Heat plugs (glow plugs) set - diesel engine (NEW only),,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,buy_new_glow_plugs_after_engine_code_confirmed,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec. | User rule 2026-04-15: heat/glow plugs are NEW ONLY; no used/refurbished plugs accepted.,,12000-36000,22000,High,Bilal Ganj diesel parts + local Toyota diesel supplier,Parts,29,INV-0028,P4 - Post inspection,4,procurement_pass2,NEW_ONLY,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Heater hose set with clamps,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,bundle_local_toyota_buy_after_inspection,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.,,,,,,Parts,26,INV-0025,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Metal protection and restoration products,,"Prefer local sourcing first, then online if unavailable.",,,post_tub_off_inspection,inspect_then_local_decide,replacement_part,replace_or_procure,planned_or_open,planned_or_open,"Active required purchase item from Procurement_Pass2. | RR action=Prefer local sourcing first, then online if unavailable.; evidence=Needed for immediate rust-exposed metal stabilization when tub comes off. | Reconciled 2026-04-15: hold purchase until tub-off rust/weld scope is visible; buy after inspection.",,,,,,Parts,32,INV-0031,P4 - Post inspection,4,Condition-based after tub-off inspection (user confirmed 2026-04-15),BUY_NEW,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
New Battery,16000,,,,post_tub_off_inspection,inspect_then_local_decide,service_or_replacement_item,inspect_then_decide,planned_or_open,planned_or_open,HaveToCheck | Open item with no procurement evidence yet. | Migrated from Service row 3 into Parts inventory.,,,,,,Service,3,INV-0138,P4 - Post inspection,4,decision_or_timing,INSPECT_THEN_DECIDE,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Primer,,"Prefer local sourcing first, then online if unavailable.",,,post_tub_off_inspection,inspect_then_local_decide,replacement_part,replace_or_procure,planned_or_open,planned_or_open,"Active required purchase item from Procurement_Pass2. | RR action=Prefer local sourcing first, then online if unavailable.; evidence=Needed for immediate rust-exposed metal stabilization when tub comes off. | RR action=Prefer local sourcing first, then online if unavailable.; evidence=Body chemistry stack should be bought as one bundle after rust map and weld scope are finalized. | RR action=Prefer local sourcing first, then online if unavailable.; evidence=Body chemistry stack should be bought as one bundle after rust map and weld scope are finalized. | Reconciled 2026-04-15: hold purchase until tub-off rust/weld scope is visible; buy after inspection.",,1000-8000,7000,Low,Diesel parts supplier,Parts,34,INV-0033,P4 - Post inspection,4,Condition-based after tub-off inspection (user confirmed 2026-04-15),BUY_NEW,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Radiator cap,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,bundle_local_toyota_buy_after_inspection,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.,,,,,,Parts,27,INV-0026,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Radiator hose set upper plus lower with clamps,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,bundle_local_toyota_buy_after_inspection,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.,,,,,,Parts,28,INV-0027,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Remove old LEDS,5000,,,,post_tub_off_inspection,inspect_then_local_decide,service_or_replacement_item,inspect_then_decide,planned_or_open,planned_or_open,Open item with no procurement evidence yet. | Migrated from Service row 2 into Parts inventory.,,,,,,Service,2,INV-0137,P4 - Post inspection,4,decision_or_timing,INSPECT_THEN_DECIDE,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Steering bushings,,,,,post_tub_off_inspection,inspect_then_local_decide,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Legacy planned steering service item retained for visibility.,,3000-12000,10000,High,Local suspension / bush supplier,Parts,53,INV-0052,P4 - Post inspection,4,decision_or_timing,NEW_ONLY,high,"photo_group=chassis_underside; group_photo_count=32; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Suspension Geometry Safety Pack (caster shims + brake hose length check + steering damper),,Pakwheels: https://www.pakwheels.com/accessories-spare-parts/search/-/q_caster+shim+leaf+spring/ | Pakwheels: https://www.pakwheels.com/accessories-spare-parts/search/-/q_brake+hose+toyota+land+cruiser/ | Pakwheels: https://www.pakwheels.com/accessories-spare-parts/search/-/q_steering+damper+toyota+land+cruiser/,,,post_tub_off_inspection,buy_only_if_geometry_or_droop_checks_require,replacement_part,inspect_then_decide,planned_or_open,conditional_pack,"Conditional consolidated pack after suspension install checks (caster, hose droop, steering kickback).",planned_or_open,21000-80000,50500,Medium,https://www.pakwheels.com/accessories-spare-parts/search/-/q_caster+shim+leaf+spring/ ; https://www.pakwheels.com/accessories-spare-parts/search/-/q_brake+hose+toyota+land+cruiser/ ; https://www.pakwheels.com/accessories-spare-parts/search/-/q_steering+damper+toyota+land+cruiser/,Parts,257,INV-0255,P4 - Post inspection,4,inspection_gate,INSPECT_THEN_DECIDE,high,local_serviceable_path,high,low,local_pk_or_on_hand
Thermostat plus gasket,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,bundle_local_toyota_buy_after_inspection,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.,,2000-8000,8000,High,Engine parts supplier,Parts,30,INV-0029,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Vacuum hose refresh kit,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,bundle_local_toyota_buy_after_inspection,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.,,,,,,Parts,31,INV-0030,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
10 mm²,,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Red | Evidence indicates purchased/received. | Migrated from Wiring row 78 into Parts inventory.,,,,,,Wiring,78,INV-0108,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
10 mm²,,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Black | Evidence indicates purchased/received. | Migrated from Wiring row 79 into Parts inventory.,,,,,,Wiring,79,INV-0109,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
10.8 x 4,113,industryparts.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 87 into Parts inventory.,,,,,,Wiring,87,INV-0113,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
100A Circuit Breaker Resettable Fuse Car Marine Boat Automotive Protector,2000,Mughal,Y,N,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Jazzcash | Evidence indicates purchased/received. | Migrated from Wiring row 23 into Parts inventory.,,,,,,Wiring,23,INV-0077,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
10mm Nylon Braided sleeve Price in Pakistan × 5,875,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 14 into Parts inventory.,,,,,,Wiring,14,INV-0076,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
10mm Nylon Braided sleeve Price in Pakistan × 5,875,electronicsstore.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 7 into Parts inventory.,,,,,,Wiring,7,INV-0070,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
10mm Nylon Braided Sleeve x 5,875,electronicsstore.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 5 into Parts inventory.,,,,,,Wiring,5,INV-0068,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
14mm Nylon Braided Sleeve price in Pakistan × 5,1500,electronicsstore.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 12 into Parts inventory.,,,,,,Wiring,12,INV-0074,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
14mm Nylon Braided Sleeve price in Pakistan × 5,1500,electronicsstore.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 8 into Parts inventory.,,,,,,Wiring,8,INV-0071,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
16 mm²,,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Red | Evidence indicates purchased/received. | Migrated from Wiring row 80 into Parts inventory.,,,,,,Wiring,80,INV-0110,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
16.1 x 4,160,industryparts.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 88 into Parts inventory.,,,,,,Wiring,88,INV-0114,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
16mm Nylon Braided Sleeve x 5,1450,electronicsstore.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 6 into Parts inventory.,,,,,,Wiring,6,INV-0069,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
"1m, 4 AWG, Red",11529,AliExpress,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 67 into Parts inventory.,,,,,,Wiring,67,INV-0101,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
1x 100A  LITTEL FUSE ANL Car Fuse MEGA Bolt-on,1026,AliExpress,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Main Fuse | Evidence indicates purchased/received. | Migrated from Wiring row 32 into Parts inventory.,,,,,,Wiring,32,INV-0080,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
20mmn Nylon Braided Sleeve Price in Paklistan × 5,1750,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 13 into Parts inventory.,,,,,,Wiring,13,INV-0075,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
20mmn Nylon Braided Sleeve Price in Paklistan × 5,1750,electronicsstore.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 9 into Parts inventory.,,,,,,Wiring,9,INV-0072,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
25 mm²,,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Red | Evidence indicates purchased/received. | Migrated from Wiring row 81 into Parts inventory.,,,,,,Wiring,81,INV-0111,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
25.1 x 4,160,industryparts.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 89 into Parts inventory.,,,,,,Wiring,89,INV-0115,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
35.1 x 4,225,industryparts.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 90 into Parts inventory.,,,,,,Wiring,90,INV-0116,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
35mm²,,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Black 1.5m | Evidence indicates purchased/received. | Migrated from Wiring row 82 into Parts inventory.,,,,,,Wiring,82,INV-0112,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
