excel_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29
42,Grommet Set,18600,starshop.pk,Y,9200 COD,post_baseline_only,defer_as_non_baseline,replacement_part,deferred_decision,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. Migrated from Wiring row 3 into Parts inventory. Arrival reconfirmed by user update 2026-04-27 with image/detail reference.,✓,,,,,Wiring,3,INV-0066,Done / On hand,0,procurement_pass2,DEFER_DECISION,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
43,8mm Nylon Braided Sleeve x 5,800,electronicsstore.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 4 into Parts inventory.,,,,,,Wiring,4,INV-0067,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
44,10mm Nylon Braided Sleeve x 5,875,electronicsstore.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 5 into Parts inventory.,,,,,,Wiring,5,INV-0068,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
45,16mm Nylon Braided Sleeve x 5,1450,electronicsstore.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 6 into Parts inventory.,,,,,,Wiring,6,INV-0069,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
46,10mm Nylon Braided sleeve Price in Pakistan × 5,875,electronicsstore.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 7 into Parts inventory.,,,,,,Wiring,7,INV-0070,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
47,14mm Nylon Braided Sleeve price in Pakistan × 5,1500,electronicsstore.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 8 into Parts inventory.,,,,,,Wiring,8,INV-0071,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
48,20mmn Nylon Braided Sleeve Price in Paklistan × 5,1750,electronicsstore.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 9 into Parts inventory.,,,,,,Wiring,9,INV-0072,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
49,heat shrink tubing (various sizes) x 2,4200,IndustryParts.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 10 into Parts inventory.,,,,,,Wiring,10,INV-0073,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
50,14mm Nylon Braided Sleeve price in Pakistan × 5,1500,electronicsstore.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 12 into Parts inventory.,,,,,,Wiring,12,INV-0074,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
51,20mmn Nylon Braided Sleeve Price in Paklistan × 5,1750,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 13 into Parts inventory.,,,,,,Wiring,13,INV-0075,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
52,10mm Nylon Braided sleeve Price in Pakistan × 5,875,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 14 into Parts inventory.,,,,,,Wiring,14,INV-0076,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
53,100A Circuit Breaker Resettable Fuse Car Marine Boat Automotive Protector,2000,Mughal,Y,N,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Jazzcash | Evidence indicates purchased/received. | Migrated from Wiring row 23 into Parts inventory.,,,,,,Wiring,23,INV-0077,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
54,6 Way Distribution Block Car Midi Fuse Box Block Holder 200A Bolt,18101,AliExpress,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 27 into Parts inventory.,,,,,,Wiring,27,INV-0078,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
55,Relay Box 12V 10 Way Relay Block and 10 Way ATC/ATO Blade Fuse Pane,37924,AliExpress,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 28 into Parts inventory.,,,,,,Wiring,28,INV-0079,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
56,1x 100A LITTEL FUSE ANL Car Fuse MEGA Bolt-on,1026,AliExpress,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Main Fuse | Evidence indicates purchased/received. | Migrated from Wiring row 32 into Parts inventory.,,,,,,Wiring,32,INV-0080,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
57,Portable 12-Way Car Fuse Box Universal Automotive Box Holder with Led Indicator,4000,Mughal,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 33 into Parts inventory.,,,,,,Wiring,33,INV-0081,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
58,Littelfuse Bolt-down Automotive Fuse MIDI/498 Auto Fuse 30A x2,3409,AliExpress,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 34 into Parts inventory.,,,,,,Wiring,34,INV-0082,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
59,Littelfuse Bolt-down Automotive Fuse MIDI/498 Auto Fuse 50A,,AliExpress,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 35 into Parts inventory.,,,,,,Wiring,35,INV-0083,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
60,Littelfuse Bolt-down Automotive Fuse MIDI/498 Auto Fuse 50A,,AliExpress,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 36 into Parts inventory.,,,,,,Wiring,36,INV-0084,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
61,Littelfuse Bolt-down Automotive Fuse MIDI/498 Auto Fuse 60A,843,AliExpress,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 37 into Parts inventory.,,,,,,Wiring,37,INV-0085,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
62,5 Pin 40A Car Relay 12V x 6,8196,AliExpress,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Relays | Evidence indicates purchased/received. | Migrated from Wiring row 41 into Parts inventory.,,,,,,Wiring,41,INV-0086,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
63,Copper Cable Lug 16mm cable 8mm Bolt Hole Pakistan × 10,280,fiaz.com.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 45 into Parts inventory.,,,,,,Wiring,45,INV-0087,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
64,Insulated Thimbles Male lug 4mm Yellow in Pakistan × 1,800,,,,pre_order_audit,stock_audit_then_local_topup,wiring_material,inspect_then_decide,planned_or_open,planned_or_open,Open item with no procurement evidence yet. | Migrated from Wiring row 46 into Parts inventory.,,,,,,Wiring,46,INV-0088,P3 - Audit then buy,3,decision_or_timing,INSPECT_THEN_DECIDE,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
65,O-type Blue Insulated Thimble/ Cable Lug 2.5mm × 1,250,fiaz.com.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 47 into Parts inventory.,,,,,,Wiring,47,INV-0089,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
66,Insulated Thimbles Male lug 2.5mm Blue in Pakistan × 1,700,fiaz.com.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 48 into Parts inventory.,,,,,,Wiring,48,INV-0090,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
67,Insulated Thimbles female lug 2.5mm Blue in Pakistan × 1,450,fiaz.com.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 49 into Parts inventory.,,,,,,Wiring,49,INV-0091,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
68,O-type Yellow Insulated Thimble/ Cable Lug 4mm (6mm hole) × 1,750,fiaz.com.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 50 into Parts inventory.,,,,,,Wiring,50,INV-0092,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
69,H4 ceramic headlight connectors - x4 received,1350,Auto Xpert,Y,Y,received,complete_no_more_required,wiring_material,replace_or_procure,procured_or_on_hand,received,"Evidence indicates purchased/received. | Migrated from Wiring row 51 into Parts inventory. | User update 2026-05-01: 4 H4 connectors received; 2 required for H4 headlights, 2 spare; no top-up required.",,,,,,Wiring,51,INV-0093,Done / On hand,0,procurement_pass2,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
70,"Classification of Deutsch DT Series Connectors, Size 16 Stamped Contacts, Automotive Electrical Connectors, 188pcs x 2",17644,Temu,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 53 into Parts inventory.,,,,,,Wiring,53,INV-0095,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
71,6pcs Ratchet Crimping Tool Set,11964,Temu,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 54 into Parts inventory.,,,,,,Wiring,54,INV-0096,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
72,Universal 4-inch Switch Panel 3pcs,4290,chaudhryautostore,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Rocker Switches | Evidence indicates purchased/received. | Migrated from Wiring row 57 into Parts inventory.,,,,,,Wiring,57,INV-0097,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
73,8mm split wiring pipe / loom pipe,5m,Montgomery Road (Lahore),,,pre_order_audit,stock_audit_then_local_topup,wiring_material,inspect_then_decide,planned_or_open,planned_or_open,Open item with no procurement evidence yet. | Migrated from Wiring row 61 into Parts inventory.,,,,,,Wiring,61,INV-0098,P3 - Audit then buy,3,decision_or_timing,INSPECT_THEN_DECIDE,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
74,12mm split wiring pipe / loom pipe,10m,Montgomery Road (Lahore),,,pre_order_audit,stock_audit_then_local_topup,wiring_material,inspect_then_decide,planned_or_open,planned_or_open,Open item with no procurement evidence yet. | Migrated from Wiring row 62 into Parts inventory.,,,,,,Wiring,62,INV-0099,P3 - Audit then buy,3,decision_or_timing,INSPECT_THEN_DECIDE,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
75,16mm split wiring pipe / loom pipe,6m,Montgomery Road (Lahore),,,pre_order_audit,stock_audit_then_local_topup,wiring_material,inspect_then_decide,planned_or_open,planned_or_open,Open item with no procurement evidence yet. | Migrated from Wiring row 63 into Parts inventory.,,,,,,Wiring,63,INV-0100,P3 - Audit then buy,3,decision_or_timing,INSPECT_THEN_DECIDE,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
76,"1m, 4 AWG, Red",11529,AliExpress,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 67 into Parts inventory.,,,,,,Wiring,67,INV-0101,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
77,"Automotive flexible wire - 2.5 mm2 blue, 90m roll",9080,uni-core.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. Migrated from Wiring row 72. Spec normalized from Uni-Core source; length recorded as 90m roll for inventory audit.,,,,,,Wiring,72,INV-0102,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
78,"Automotive flexible wire - 1.5 mm2 yellow, 90m roll",5770,uni-core.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. Migrated from Wiring row 73. Spec normalized from Uni-Core source; length recorded as 90m roll for inventory audit.,,,,,,Wiring,73,INV-0103,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
79,"Automotive flexible wire - 1.0 mm2 white, 90m roll",4430,uni-core.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. Migrated from Wiring row 74. Spec normalized from Uni-Core source; length recorded as 90m roll for inventory audit.,,,,,,Wiring,74,INV-0104,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
80,4 mm²,,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Green | Evidence indicates purchased/received. | Migrated from Wiring row 75 into Parts inventory.,,,,,,Wiring,75,INV-0105,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
81,6 mm²,,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Red | Evidence indicates purchased/received. | Migrated from Wiring row 76 into Parts inventory.,,,,,,Wiring,76,INV-0106,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
82,8 mm²,,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Red | Evidence indicates purchased/received. | Migrated from Wiring row 77 into Parts inventory.,,,,,,Wiring,77,INV-0107,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
83,10 mm²,,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Red | Evidence indicates purchased/received. | Migrated from Wiring row 78 into Parts inventory.,,,,,,Wiring,78,INV-0108,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
84,10 mm²,,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Black | Evidence indicates purchased/received. | Migrated from Wiring row 79 into Parts inventory.,,,,,,Wiring,79,INV-0109,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
85,16 mm²,,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Red | Evidence indicates purchased/received. | Migrated from Wiring row 80 into Parts inventory.,,,,,,Wiring,80,INV-0110,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
86,25 mm²,,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Red | Evidence indicates purchased/received. | Migrated from Wiring row 81 into Parts inventory.,,,,,,Wiring,81,INV-0111,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
87,35mm²,,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Black 1.5m | Evidence indicates purchased/received. | Migrated from Wiring row 82 into Parts inventory.,,,,,,Wiring,82,INV-0112,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
88,10.8 x 4,113,industryparts.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 87 into Parts inventory.,,,,,,Wiring,87,INV-0113,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
89,16.1 x 4,160,industryparts.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 88 into Parts inventory.,,,,,,Wiring,88,INV-0114,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
90,25.1 x 4,160,industryparts.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 89 into Parts inventory.,,,,,,Wiring,89,INV-0115,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
91,35.1 x 4,225,industryparts.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 90 into Parts inventory.,,,,,,Wiring,90,INV-0116,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
92,70.12 x 10,1313,industryparts.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 91 into Parts inventory.,,,,,,Wiring,91,INV-0117,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
93,Bare Copper Braid Tape,12500,industryparts.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 92 into Parts inventory.,,,,,,Wiring,92,INV-0118,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
